Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2017-01-02 ,INDOBORAX.BO,231.899993896484,231.899993896484,225.100006103516,227.699996948242,224.213348388672,593
2017-01-03 ,INDOBORAX.BO,228,237.800003051758,227,232,228.447525024414,2235
2017-01-04 ,INDOBORAX.BO,236,239.899993896484,234,237.449996948242,233.814086914062,1208
2017-01-05 ,INDOBORAX.BO,240,252,238,250.100006103516,246.270355224609,1362
2017-01-06 ,INDOBORAX.BO,259.75,267.299987792969,245.600006103516,248.550003051758,244.744094848633,2735
2017-01-09 ,INDOBORAX.BO,250,254.699996948242,250,250.050003051758,246.221115112305,1366
2017-01-10 ,INDOBORAX.BO,254,254,246.199996948242,249.800003051758,245.974960327148,1479
2017-01-11 ,INDOBORAX.BO,250,250,236,242.649993896484,238.934432983398,2766
2017-01-12 ,INDOBORAX.BO,245,253,238,240.699996948242,237.014266967773,778
2017-01-13 ,INDOBORAX.BO,240.050003051758,252.899993896484,236.300003051758,245.600006103516,241.839279174805,987
2017-01-16 ,INDOBORAX.BO,245.600006103516,258.299987792969,240,241.399993896484,237.703567504883,598
2017-01-17 ,INDOBORAX.BO,239,249.949996948242,239,248.199996948242,244.399444580078,506
2017-01-18 ,INDOBORAX.BO,259,260,242.149993896484,252.199996948242,248.33821105957,1924
2017-01-19 ,INDOBORAX.BO,249.75,252,243.199996948242,244.449996948242,240.706878662109,1319
2017-01-20 ,INDOBORAX.BO,245.5,246,245.5,246,242.233154296875,109
2017-01-23 ,INDOBORAX.BO,257.850006103516,258,250,254.199996948242,250.307571411133,600
2017-01-24 ,INDOBORAX.BO,255.75,255.75,247,248.699996948242,244.891784667969,475
2017-01-25 ,INDOBORAX.BO,250,256,247,255.350006103516,251.439971923828,505
2017-01-27 ,INDOBORAX.BO,253,256,248.100006103516,250.550003051758,246.713485717773,2264
2017-01-30 ,INDOBORAX.BO,251.949996948242,251.949996948242,241.100006103516,242.149993896484,238.442092895508,1339
2017-01-31 ,INDOBORAX.BO,239.050003051758,250,239,239.649993896484,235.980361938477,873
2017-02-01 ,INDOBORAX.BO,238.75,245,238,243.899993896484,240.165283203125,556
2017-02-02 ,INDOBORAX.BO,242,248,240.949996948242,246.899993896484,243.119338989258,179
2017-02-03 ,INDOBORAX.BO,247,251.75,239.25,240.399993896484,236.718902587891,1070
2017-02-06 ,INDOBORAX.BO,245,254.75,238.050003051758,241,237.309692382812,2083
2017-02-07 ,INDOBORAX.BO,241,241,236.100006103516,238,234.355651855469,454
2017-02-08 ,INDOBORAX.BO,255,255,236.050003051758,240,236.32502746582,1102
2017-02-09 ,INDOBORAX.BO,241,241,237,237,233.370941162109,1404
2017-02-10 ,INDOBORAX.BO,238,241,225,235,231.401580810547,2940
