Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2017-01-02,SINCLAIR.BO,295,295,283.100006103516,286.100006103516,276.135803222656,30
2017-01-03,SINCLAIR.BO,286.149993896484,289.850006103516,278.049987792969,289.850006103516,279.755126953125,259
2017-01-04,SINCLAIR.BO,289.950012207031,290,276.299987792969,276.299987792969,266.677093505859,179
2017-01-05,SINCLAIR.BO,285,290,285,290,279.899963378906,10
2017-01-06,SINCLAIR.BO,285,285,275,277.200012207031,267.545745849609,895
2017-01-09,SINCLAIR.BO,289.5,289.5,289.5,289.5,279.417358398437,40
2017-01-10,SINCLAIR.BO,278.049987792969,278.049987792969,275,276,266.387542724609,78
2017-01-11,SINCLAIR.BO,275.549987792969,295,275.549987792969,295,284.725799560547,250
2017-01-12,SINCLAIR.BO,295,295,295,295,284.725799560547,0
2017-01-13,SINCLAIR.BO,294.799987792969,294.799987792969,294.799987792969,294.799987792969,284.532745361328,50
2017-01-16,SINCLAIR.BO,294.799987792969,294.799987792969,294.799987792969,294.799987792969,284.532745361328,0
2017-01-17,SINCLAIR.BO,286,295,286,295,284.725799560547,50
2017-01-18,SINCLAIR.BO,277,297,277,280,270.248199462891,4340
2017-01-19,SINCLAIR.BO,302.799987792969,302.799987792969,300,301.899993896484,291.385528564453,550
2017-01-20,SINCLAIR.BO,301,301,301,301,290.516845703125,50
2017-01-23,SINCLAIR.BO,303,303,290.049987792969,290.049987792969,279.948181152344,25
2017-01-24,SINCLAIR.BO,278,300,278,295,284.725799560547,4100
2017-01-25,SINCLAIR.BO,295,300,295,299.899993896484,289.455139160156,430
2017-01-27,SINCLAIR.BO,297.299987792969,297.5,297.299987792969,297.299987792969,286.945678710937,257
2017-01-30,SINCLAIR.BO,278,297.950012207031,278,290,279.899963378906,4068
2017-01-31,SINCLAIR.BO,297.5,297.5,297.5,297.5,287.138732910156,463
2017-02-01,SINCLAIR.BO,295,295,295,295,284.725799560547,1
2017-02-02,SINCLAIR.BO,297.450012207031,300,295.049987792969,295.049987792969,284.774047851562,707
2017-02-03,SINCLAIR.BO,279.399993896484,279.399993896484,279.399993896484,279.399993896484,269.669128417969,50
2017-02-06,SINCLAIR.BO,299.549987792969,300,292,292,281.830322265625,161
2017-02-07,SINCLAIR.BO,300,306.600006103516,300,306.600006103516,295.921813964844,606
2017-02-08,SINCLAIR.BO,321.5,321.899993896484,314,315.899993896484,304.897918701172,1709
2017-02-09,SINCLAIR.BO,312,312,300.299987792969,300.450012207031,289.985992431641,187
2017-02-10,SINCLAIR.BO,306,306,300,300,289.551666259766,350
2017-02-13,SINCLAIR.BO,300,300,299.950012207031,299.950012207031,289.50341796875,153
2017-02-14,SINCLAIR.BO,311.950012207031,314.899993896484,302.549987792969,304.450012207031,293.846710205078,2027
2017-02-15,SINCLAIR.BO,310,319.649993896484,304.5,305.950012207031,295.294403076172,3348
2017-02-16,SINCLAIR.BO,314.950012207031,321.200012207031,314,315.950012207031,304.946166992187,3496
2017-02-17,SINCLAIR.BO,323.950012207031,324,312.049987792969,315.350006103516,304.367095947266,6370
2017-02-20,SINCLAIR.BO,319.5,319.5,308.100006103516,310.25,299.444702148437,1682
2017-02-21,SINCLAIR.BO,315,319.450012207031,312.5,314.200012207031,303.257080078125,4147
2017-02-22,SINCLAIR.BO,315,316.25,312,313.450012207031,302.533233642578,3210
2017-02-23,SINCLAIR.BO,327.950012207031,327.950012207031,313.25,314,303.064086914062,1598
2017-02-27,SINCLAIR.BO,328.399993896484,328.399993896484,313,319.25,308.131225585937,3061
2017-02-28,SINCLAIR.BO,318,329.899993896484,314,329.649993896484,318.169006347656,171
2017-03-01,SINCLAIR.BO,344.950012207031,344.950012207031,331,334.600006103516,322.946624755859,103
2017-03-02,SINCLAIR.BO,334.600006103516,336.899993896484,327,331.350006103516,319.809814453125,793
2017-03-03,SINCLAIR.BO,335.049987792969,335.049987792969,330,330,318.5068359375,344
2017-03-06,SINCLAIR.BO,336.700012207031,339,322.049987792969,334.899993896484,323.236175537109,1193
2017-03-07,SINCLAIR.BO,335.100006103516,342.899993896484,335.100006103516,335.75,324.056549072266,135
2017-03-08,SINCLAIR.BO,351,352.5,335,352.149993896484,339.885345458984,4071
