Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2017-01-02 ,GRPLTD.NS,1382.59997558594,1382.59997558594,1362,1381.84997558594,1343.67663574219,102
2017-01-03 ,GRPLTD.NS,1385.15002441406,1437,1385,1428.5,1389.03820800781,235
2017-01-04 ,GRPLTD.NS,1448,1448,1425,1447,1407.02697753906,140
2017-01-05 ,GRPLTD.NS,1420,1489,1420,1451.65002441406,1411.54858398438,352
2017-01-06 ,GRPLTD.NS,1488,1488,1430,1441.5,1401.67883300781,120
2017-01-09 ,GRPLTD.NS,1456,1490,1456,1485,1443.97729492188,76
2017-01-10 ,GRPLTD.NS,1485,1536,1485,1509.75,1468.04345703125,1284
2017-01-11 ,GRPLTD.NS,1549,1589.90002441406,1548,1549.69995117188,1506.88977050781,629
2017-01-12 ,GRPLTD.NS,1550,1550,1550,1550,1507.18151855469,40
2017-01-13 ,GRPLTD.NS,1523,1550,1523,1550,1507.18151855469,63
2017-01-16 ,GRPLTD.NS,1548.94995117188,1580,1535.05004882813,1570.94995117188,1527.55261230469,1547
2017-01-17 ,GRPLTD.NS,1560,1560,1537.09997558594,1543.55004882813,1500.90979003906,1217
2017-01-18 ,GRPLTD.NS,1559.94995117188,1587.94995117188,1532,1587.94995117188,1544.08325195313,569
2017-01-19 ,GRPLTD.NS,1580,1639.94995117188,1562.5,1588.80004882813,1544.91003417969,259
2017-01-20 ,GRPLTD.NS,1542.05004882813,1590,1542,1570,1526.62902832031,143
2017-01-23 ,GRPLTD.NS,1588,1600,1575,1588.69995117188,1544.81237792969,1014
2017-01-24 ,GRPLTD.NS,1610,1630,1590,1629.5,1584.48547363281,2179
2017-01-25 ,GRPLTD.NS,1630,1788,1630,1747.5,1699.22570800781,2795
2017-01-27 ,GRPLTD.NS,1790,1814.09997558594,1697.44995117188,1744.55004882813,1696.35717773438,1186
2017-01-30 ,GRPLTD.NS,1779.75,1779.75,1671.09997558594,1675.25,1628.9716796875,196
2017-01-31 ,GRPLTD.NS,1650,1694,1648,1663.65002441406,1617.69213867188,398
2017-02-01 ,GRPLTD.NS,1680,1749,1638.84997558594,1669,1622.89440917969,151
2017-02-02 ,GRPLTD.NS,1669,1699,1660,1666.94995117188,1620.90075683594,36
2017-02-03 ,GRPLTD.NS,1650.55004882813,1735,1540.09997558594,1572.75,1529.30310058594,1518
2017-02-06 ,GRPLTD.NS,1560,1596,1539.94995117188,1561.15002441406,1518.02355957031,1107
2017-02-07 ,GRPLTD.NS,1589.84997558594,1589.84997558594,1540,1555,1512.04345703125,160
